,overall,reviewTime,reviewerID,style,reviewText,summary,product_id,place,age,gender
59,3,"04 18, 2017",A3T8NHQYBQSV1X,"{'Size:': ' Medium', 'Color:': ' Navy'}","The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",Don't sweat the pants,P04910,Assam,14,male
60,5,"04 13, 2017",A2NEJIX5NIH2ZZ,"{'Size:': ' Medium', 'Color:': ' Charcoal Heather'}","Fit perfectly. I bought dark grey, and they didn't fade",Five Stars,P00980,Gujarat,58,male
61,3,"04 13, 2017",A2NEJIX5NIH2ZZ,"{'Size:': ' Medium', 'Color:': ' Black'}",They fit great. But they fade bad,Three Stars,P06819,Gujarat,58,male
62,4,"04 5, 2017",A3T8NHQYBQSV1X,"{'Size:': ' Medium', 'Color:': ' Black'}",I only give four stars because the pants have no pockets.,Four Stars,P02254,Assam,14,male
63,3,"03 24, 2017",A1G0HYMR02WM2W,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Average product.  As described.,Three Stars,P02116,Punjab,44,male
64,5,"03 11, 2017",A2BFZUQ2XV535H,"{'Size:': ' Large', 'Color:': ' Charcoal Heather'}",comfy fit,Five Stars,P05385,Tamil Nadu,21,female
65,2,"02 21, 2017",ABX2R8Q6GBTJ8,"{'Size:': ' Medium', 'Color:': ' Black'}",Nice pants but too small for a medium. Return it.,Returned also,P03609,Andhra Pradesh,62,female
66,2,"02 21, 2017",ABX2R8Q6GBTJ8,"{'Size:': ' Medium', 'Color:': ' Navy'}",Nice pants but too small for a medium. Returned it.,Returned,P05174,Andhra Pradesh,62,female
67,4,"02 21, 2017",A1Y01U6OZLZE7I,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}","Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",Comfy and warm.,P03283,Gujarat,34,female
68,1,"02 8, 2017",A21HH0VIBKK80J,,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",P04955,Pondicherry,47,male
69,3,"02 1, 2017",A1G0HYMR02WM2W,"{'Size:': ' XXX-Large', 'Color:': ' Light Steel'}",As described.,Three Stars,P01845,Punjab,44,male
70,5,"07 22, 2015",A3CNRM11BHAR1A,,Havaiana's are THE BEST!!!,Five Stars,P00301,Haryana,36,male
71,5,"08 6, 2014",A3CNRM11BHAR1A,,Perfect color!,I love Havaianas!,P04307,Haryana,36,male
72,1,"02 19, 2018",A276HQXYS553QW,"{'Size:': ' One Size', 'Color:': ' Black/White'}",Should have listened to other reviews. The elastics does not hold up.,One Star,P08265,Lakshadweep,26,male
73,1,"02 19, 2018",A276HQXYS553QW,"{'Size:': ' One Size', 'Color:': ' White/Black'}",Constantly rolls down,One Star,P03117,Lakshadweep,26,male
74,5,"09 26, 2017",A3BN0MRGRDKM0J,"{'Size:': ' One Size', 'Color:': ' Red/White/Blue'}",Superrrr thigh high. Im 54 and it easily reaches 3/4 up my thigh!!,Great!!! Very high!,P02221,Punjab,62,male
75,4,"10 31, 2015",A276HQXYS553QW,"{'Size:': ' One Size', 'Color:': ' Red/White/Blue'}",I just wish they would not roll down.,Cute but will roll,P00064,Lakshadweep,26,male
76,4,"01 29, 2016",A3HX4X3TIABWOV,"{'Size:': ' One Size', 'Color:': ' Fireman (Red)'}","Sadly, not a true red. It's definitely orange",Four Stars,P01381,Gujarat,15,male
77,5,"01 22, 2016",A3HX4X3TIABWOV,"{'Size:': ' One Size', 'Color:': ' Space Hero (Blue)'}","Well made, soft, thick & so very colorful. Bought the just as gorgeous rich, red Fireman's scarf, too. My little fella is quite the fashion plate! And toasty, too!","Well made, soft, thick & so very colorful ...",P00230,Gujarat,15,male
78,3,"07 12, 2015",A1Z8U8IPBLBEU5,{'Size:': ' 1.50'},Not pretty for fashion but great around the house and work.,Three Stars,P07954,Gujarat,19,male
79,2,"05 21, 2015",A36GNVEQP92OPA,{'Size:': ' 2.50'},"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",Huh,P03691,Gujarat,31,male
80,4,"12 29, 2014",A33GD4H5O1MK6S,{'Size:': ' 3.25'},Excellent value,excellent value and quality,P08265,Delhi,48,male
81,3,"12 14, 2012",A12DWXDNZQTKXQ,{'Size:': ' 2.75'},"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",loose screws,P00754,Haryana,54,male
82,4,"12 25, 2009",A2VR6SWVSF6K4,{'Size:': ' 2.25'},"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",Good Value,P04155,Lakshadweep,26,male
83,3,"07 12, 2015",A1Z8U8IPBLBEU5,,Not pretty for fashion but great around the house and work.,Three Stars,P05182,Gujarat,19,male
84,2,"05 21, 2015",A36GNVEQP92OPA,,"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",Huh,P00348,Gujarat,31,male
85,4,"12 29, 2014",A33GD4H5O1MK6S,,Excellent value,excellent value and quality,P01000,Delhi,48,male
86,3,"12 14, 2012",A12DWXDNZQTKXQ,,"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",loose screws,P00980,Haryana,54,male
87,4,"12 25, 2009",A2VR6SWVSF6K4,,"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",Good Value,P04155,Lakshadweep,26,male
88,1,"03 12, 2018",A3QY3THQ42WSCQ,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Waaaay too BIG,One Star,P02221,Delhi,37,female
89,5,"02 8, 2018",AGZ5OOZVDO194,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Comfortable,Five Stars,P03134,Kerala,46,male
90,4,"07 1, 2010",A3GJ3DJU1RXOHN,,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,P05707,Andhra Pradesh,65,female
91,5,"10 25, 2017",A232J1FHOQI5YN,"{'Size:': ' X-Large', 'Color:': ' Navy'}",Good product for the price.  Used very day and no problem.,Five Stars,P03117,Maharashtra,63,female
92,5,"10 14, 2017",A2ON4RYI9Z4SQ,"{'Size:': ' Medium', 'Color:': ' Light Steel'}",Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,Good fit,P08792,Kerala,61,female
93,1,"03 12, 2018",A3QY3THQ42WSCQ,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Waaaay too BIG,One Star,P08099,Delhi,37,female
94,5,"07 30, 2017",A232J1FHOQI5YN,"{'Size:': ' X-Large', 'Color:': ' Light Steel'}",Excellent value.  Comfortable.,Excellent Product,P03344,Maharashtra,63,female
95,5,"06 16, 2017",A1EZN3E9R322YJ,"{'Size:': ' XXX-Large', 'Color:': ' Deep Royal'}","Typical Hanes quality. Good weight, sized just right, made pretty well",Typical Quality,P03344,Tamil Nadu,14,male
96,3,"04 18, 2017",A3T8NHQYBQSV1X,"{'Size:': ' Medium', 'Color:': ' Navy'}","The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",Don't sweat the pants,P05676,Assam,14,male
97,5,"04 13, 2017",A2NEJIX5NIH2ZZ,"{'Size:': ' Medium', 'Color:': ' Charcoal Heather'}","Fit perfectly. I bought dark grey, and they didn't fade",Five Stars,P00064,Gujarat,58,male
98,3,"04 13, 2017",A2NEJIX5NIH2ZZ,"{'Size:': ' Medium', 'Color:': ' Black'}",They fit great. But they fade bad,Three Stars,P09183,Gujarat,58,male
99,4,"04 5, 2017",A3T8NHQYBQSV1X,"{'Size:': ' Medium', 'Color:': ' Black'}",I only give four stars because the pants have no pockets.,Four Stars,P04368,Assam,14,male
100,3,"03 24, 2017",A1G0HYMR02WM2W,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Average product.  As described.,Three Stars,P09756,Punjab,44,male
101,5,"02 8, 2018",AGZ5OOZVDO194,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Comfortable,Five Stars,P05707,Kerala,46,male
102,5,"03 11, 2017",A2BFZUQ2XV535H,"{'Size:': ' Large', 'Color:': ' Charcoal Heather'}",comfy fit,Five Stars,P01497,Tamil Nadu,21,female
103,2,"02 21, 2017",ABX2R8Q6GBTJ8,"{'Size:': ' Medium', 'Color:': ' Black'}",Nice pants but too small for a medium. Return it.,Returned also,P06064,Andhra Pradesh,62,female
104,2,"02 21, 2017",ABX2R8Q6GBTJ8,"{'Size:': ' Medium', 'Color:': ' Navy'}",Nice pants but too small for a medium. Returned it.,Returned,P01903,Andhra Pradesh,62,female
105,4,"02 21, 2017",A1Y01U6OZLZE7I,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}","Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",Comfy and warm.,P06456,Gujarat,34,female
106,1,"02 8, 2017",A21HH0VIBKK80J,,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",P05174,Pondicherry,47,male
107,3,"02 1, 2017",A1G0HYMR02WM2W,"{'Size:': ' XXX-Large', 'Color:': ' Light Steel'}",As described.,Three Stars,P04155,Punjab,44,male
108,5,"01 23, 2017",A2BFZUQ2XV535H,,Very comfy for wearing at home.,Five Stars,P08499,Tamil Nadu,21,female
109,5,"03 8, 2016",A3E30OLSMGJEVK,,So comfortable and soft.,Hanes pants,P03334,Tamil Nadu,50,male
110,2,"10 26, 2015",A26TEJJ6YOGWMZ,,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",P03991,West Bangal,48,male
111,3,"06 11, 2015",A2J9WEIRNVTX61,,"No pockets and huge, the bottom of the pants go over shoes",large with no pockets,P03232,Lakshadweep,39,male
112,4,"05 24, 2015",A2UUEV4MYOJY66,,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,Fleece Pants,P08499,Gujarat,14,female
113,5,"03 8, 2016",A3E30OLSMGJEVK,,So comfortable and soft.,Hanes pants,P05385,Tamil Nadu,50,male
114,2,"10 26, 2015",A26TEJJ6YOGWMZ,,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",P01497,West Bangal,48,male
115,3,"06 11, 2015",A2J9WEIRNVTX61,,"No pockets and huge, the bottom of the pants go over shoes",large with no pockets,P08749,Lakshadweep,39,male
116,4,"05 24, 2015",A2UUEV4MYOJY66,,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,Fleece Pants,P01948,Gujarat,14,female
117,5,"02 4, 2015",A36GNVEQP92OPA,"{'Size:': ' Medium', 'Color:': ' Navy'}","Love 'em, just the plain no frills no pockets not too heavy good ol sweatpants.",Five Stars,P09567,Gujarat,31,male
118,5,"10 25, 2017",A232J1FHOQI5YN,"{'Size:': ' X-Large', 'Color:': ' Navy'}",Good product for the price.  Used very day and no problem.,Five Stars,P08675,Maharashtra,63,female
119,5,"10 14, 2017",A2ON4RYI9Z4SQ,"{'Size:': ' Medium', 'Color:': ' Light Steel'}",Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,Good fit,P02079,Kerala,61,female
120,4,"07 1, 2010",A3GJ3DJU1RXOHN,,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,P02326,Andhra Pradesh,65,female
121,5,"07 30, 2017",A232J1FHOQI5YN,"{'Size:': ' X-Large', 'Color:': ' Light Steel'}",Excellent value.  Comfortable.,Excellent Product,P00230,Maharashtra,63,female
122,5,"06 16, 2017",A1EZN3E9R322YJ,"{'Size:': ' XXX-Large', 'Color:': ' Deep Royal'}","Typical Hanes quality. Good weight, sized just right, made pretty well",Typical Quality,P05385,Tamil Nadu,14,male
123,3,"04 18, 2017",A3T8NHQYBQSV1X,"{'Size:': ' Medium', 'Color:': ' Navy'}","The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",Don't sweat the pants,P03451,Assam,14,male
124,5,"04 13, 2017",A2NEJIX5NIH2ZZ,"{'Size:': ' Medium', 'Color:': ' Charcoal Heather'}","Fit perfectly. I bought dark grey, and they didn't fade",Five Stars,P01000,Gujarat,58,male
125,3,"04 13, 2017",A2NEJIX5NIH2ZZ,"{'Size:': ' Medium', 'Color:': ' Black'}",They fit great. But they fade bad,Three Stars,P07954,Gujarat,58,male
126,4,"04 5, 2017",A3T8NHQYBQSV1X,"{'Size:': ' Medium', 'Color:': ' Black'}",I only give four stars because the pants have no pockets.,Four Stars,P09212,Assam,14,male
127,3,"03 24, 2017",A1G0HYMR02WM2W,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Average product.  As described.,Three Stars,P04511,Punjab,44,male
128,5,"03 11, 2017",A2BFZUQ2XV535H,"{'Size:': ' Large', 'Color:': ' Charcoal Heather'}",comfy fit,Five Stars,P09587,Tamil Nadu,21,female
129,2,"02 21, 2017",ABX2R8Q6GBTJ8,"{'Size:': ' Medium', 'Color:': ' Black'}",Nice pants but too small for a medium. Return it.,Returned also,P05507,Andhra Pradesh,62,female
130,2,"02 21, 2017",ABX2R8Q6GBTJ8,"{'Size:': ' Medium', 'Color:': ' Navy'}",Nice pants but too small for a medium. Returned it.,Returned,P01948,Andhra Pradesh,62,female
131,4,"02 21, 2017",A1Y01U6OZLZE7I,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}","Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",Comfy and warm.,P09194,Gujarat,34,female
132,1,"02 8, 2017",A21HH0VIBKK80J,,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",P03344,Pondicherry,47,male
133,3,"02 1, 2017",A1G0HYMR02WM2W,"{'Size:': ' XXX-Large', 'Color:': ' Light Steel'}",As described.,Three Stars,P08327,Punjab,44,male
134,5,"07 22, 2015",A3CNRM11BHAR1A,,Havaiana's are THE BEST!!!,Five Stars,P02903,Haryana,36,male
135,5,"08 6, 2014",A3CNRM11BHAR1A,,Perfect color!,I love Havaianas!,P00499,Haryana,36,male
136,1,"02 19, 2018",A276HQXYS553QW,"{'Size:': ' One Size', 'Color:': ' Black/White'}",Should have listened to other reviews. The elastics does not hold up.,One Star,P01000,Lakshadweep,26,male
137,1,"02 19, 2018",A276HQXYS553QW,"{'Size:': ' One Size', 'Color:': ' White/Black'}",Constantly rolls down,One Star,P09587,Lakshadweep,26,male
